"","game_id","season","stadium","n","ws","wd","HomeTeam","RoofType","Longitude","Latitude","StadiumAzimuthAngle","wind_compass"
"1","2009_01_BUF_NE","2009","Gillette Stadium",2,4.04,255,"NE","Outdoor",-71.264,42.091,343,"E"
"2","2009_01_CHI_GB","2009","Lambeau Field",5,5.392,287.980278634988,"GB","Outdoor",-88.062222,44.501389,0,"E"
"3","2009_01_DAL_TB","2009","Raymond James Stadium",7,8.23714285714286,285.423975439397,"TB","Outdoor",-82.503333,27.975833,0,"E"
"4","2009_01_DEN_CIN","2009","Paul Brown Stadium",7,4.97142857142857,55.7416217549603,"CIN","Outdoor",-84.516,39.095,320.6,"W"
"5","2009_01_KC_BAL","2009","M&T Bank Stadium",7,8.39714285714286,314.011277319038,"BAL","Outdoor",-76.622778,39.278056,289.5,"E"
"6","2009_01_PHI_CAR","2009","Bank of America Stadium",5,4.176,28.7563404861809,"CAR","Outdoor",-80.852778,35.225833,322.4,"N"
"7","2009_01_TEN_PIT","2009","Heinz Field",6,7.145,121.627885299822,"PIT","Outdoor",-80.015833,40.446667,333.9,"W"
"8","2009_01_WAS_NYG","2009","Giants Stadium",6,11.1533333333333,325.078141269723,"NYG/NYJ","Outdoor",-74.076944,40.812222,308,"N"
"9","2009_02_BAL_SD","2009","Qualcomm Stadium",6,9.57,295,"SD","Outdoor",-117.119444,32.783056,291.6,"E"
"10","2009_02_CIN_GB","2009","Lambeau Field",7,9.06285714285714,120.510294720403,"GB","Outdoor",-88.062222,44.501389,0,"W"
"11","2009_02_NE_NYJ","2009","Giants Stadium",7,9.25,194.183508397333,"NYG/NYJ","Outdoor",-74.076944,40.812222,308,"S"
"12","2009_02_NO_PHI","2009","Lincoln Financial Field",6,4.56,214.214488841408,"PHI","Outdoor",-75.1675,39.900833,351,"S"
"13","2009_02_OAK_KC","2009","Arrowhead Stadium",5,4.848,119.751055165763,"KC","Outdoor",-94.483889,39.048889,316.3,"W"
"14","2009_02_PIT_CHI","2009","Soldier Field",6,8.62833333333333,69.837444308397,"CHI","Outdoor",-87.6167,41.8623,353.9,"W"
"15","2009_02_SEA_SF","2009","Candlestick Park",6,12.9033333333333,319.499755374418,"SF","Outdoor",-122.386111,37.713611,0,"N"
"16","2009_02_STL_WAS","2009","FedExField",4,6.06,130,"WAS","Outdoor",-76.864444,38.907778,295,"W"
